Tijdstempel	E-mailadres	Datum	Start tijd	Eind tijd	Spot	Hoe goed was de surf?	Hoe was de surf? Alleen invullen bij een nat pak (: [Mellow]	Type data	Type board	Hoe was de surf? Alleen invullen bij een nat pak (: [Clean]	Hoe was de surf? Alleen invullen bij een nat pak (: [Krachtig]	Hoe was de surf? Alleen invullen bij een nat pak (: [Lange ritjes]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stijle golven]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stroming]	Hoe was de surf? Alleen invullen bij een nat pak (: [Crowd]	Hoe was de surf? Alleen invullen bij een nat pak (: [Hoog]	Hoe was de surf? Alleen invullen bij een nat pak (: [Windy]	Hoe hoog was het?	Hoe was de surf? Alleen invullen bij een nat pak (: [Voor beginners]	Best geschikt voor ...	Data comments
29-11-2024		29-6-2024	6:45	7:15	Zandvoort	7		Schatting a.d.h.v. webcam	Fish of funboard	Heel erg											Pim stuurde op 02-07-2024: 29-06-2024:       29 juni 2024 om 07:00 bij wijk en waarsch ook ijmuiden en zandvoort: 7 voor longboard maar voor short en fish een 4 of 5. Heel clean. Via cam
29-11-2024		29-6-2024	6:45	7:15	Zandvoort	4		Schatting a.d.h.v. webcam	Shortboard	Heel erg											Pim stuurde op 02-07-2024: 29-06-2024:       29 juni 2024 om 07:00 bij wijk en waarsch ook ijmuiden en zandvoort: 7 voor longboard maar voor short en fish een 4 of 5. Heel clean. Via cam
29-11-2024		29-6-2024	6:45	7:15	Zandvoort	5		Schatting a.d.h.v. webcam	Fish of funboard	Heel erg											Pim stuurde op 02-07-2024: 29-06-2024:       29 juni 2024 om 07:00 bij wijk en waarsch ook ijmuiden en zandvoort: 7 voor longboard maar voor short en fish een 4 of 5. Heel clean. Via cam
29-11-2024		29-6-2024	6:45	7:15	IJmuiden	6		Schatting a.d.h.v. webcam	Fish of funboard	Heel erg											Pim stuurde op 02-07-2024: 29-06-2024:       29 juni 2024 om 07:00 bij wijk en waarsch ook ijmuiden en zandvoort: 7 voor longboard maar voor short en fish een 4 of 5. Heel clean. Via cam
29-11-2024		29-6-2024	6:45	7:15	IJmuiden	3		Schatting a.d.h.v. webcam	Shortboard	Heel erg											Pim stuurde op 02-07-2024: 29-06-2024:       29 juni 2024 om 07:00 bij wijk en waarsch ook ijmuiden en zandvoort: 7 voor longboard maar voor short en fish een 4 of 5. Heel clean. Via cam
29-11-2024		29-6-2024	6:45	7:15	IJmuiden	4		Schatting a.d.h.v. webcam	Fish of funboard	Heel erg											Pim stuurde op 02-07-2024: 29-06-2024:       29 juni 2024 om 07:00 bij wijk en waarsch ook ijmuiden en zandvoort: 7 voor longboard maar voor short en fish een 4 of 5. Heel clean. Via cam
29-11-2024		30-6-2024	13:45	14:15	Wijk aan zee	6,5		Webcam	Longboard	Een beetje					Een beetje		Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	Wijk aan zee	5		Webcam	Fish of funboard	Een beetje					Een beetje		Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	Wijk aan zee	4		Webcam	Shortboard	Een beetje					Een beetje		Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	Zandvoort	6,5		Schatting a.d.h.v. webcam	Longboard	Een beetje							Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	Zandvoort	5		Schatting a.d.h.v. webcam	Fish of funboard	Een beetje							Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	Zandvoort	4		Schatting a.d.h.v. webcam	Shortboard	Een beetje							Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	IJmuiden	6,5		Schatting a.d.h.v. webcam	Longboard	Een beetje							Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	IJmuiden	5		Schatting a.d.h.v. webcam	Fish of funboard	Een beetje							Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		30-6-2024	13:45	14:15	IJmuiden	4		Schatting a.d.h.v. webcam	Shortboard	Een beetje							Een beetje				Pim stuurde op 02-07-2024:      30-06-2024 14:00 webcam wijk ziet er laag uit. Leuk voor longboards 6,5. Wel een beetje winderig. Niet zo goed voor fish of shortboard. Niet heel clean. Liggen meerdere surfers in, beetje crowd. Waarsch bij ijmuiden en zandvoort hetzelfde, want ver van de pier lijkt het hetzelfde.
29-11-2024		3-7-2024	16:15	16:45	Wijk aan zee	8		Webcam	Longboard												Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	16:15	16:45	Wijk aan zee	8		Webcam	Fish of funboard												Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	16:15	16:45	Wijk aan zee	8		Webcam	Shortboard												Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	18:45	20:00	Wijk aan zee	8		Nat pak	Longboard	Best wel					Best wel	Best wel					Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	18:45	20:00	Wijk aan zee	8		Nat pak	Fish of funboard	Best wel					Best wel	Best wel					Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	18:45	20:00	Wijk aan zee	8		Nat pak	Shortboard	Best wel					Best wel	Best wel					Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	20:30	21:15	Wijk aan zee	7		Nat pak	Longboard	Best wel					Best wel						Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	20:30	21:15	Wijk aan zee	7		Nat pak	Fish of funboard	Best wel					Best wel						Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		3-7-2024	20:30	21:15	Wijk aan zee	7		Nat pak	Shortboard	Best wel					Best wel						Pim stuurde naar zichzelf: 03-07-2024 16:30 zag er via de cam heel goed uit bij wijk. Voor alle boards een 8. 18:45 - 20:00 nat pak bij wijk. Was voor alle boards een 8. Vrij clean, maar wel druk. Van 20:30 tot 21:15 was het een 7 geworden. Niet veel hoogte meer. Zat toen af en toe nog wel een leuke golf tussen
29-11-2024		5-7-2024																			
28-11-2024		1-6-2024	17:50	18:15	IJmuiden	7,5		Eyeball	Longboard												Pim stuurde 02-06-2024 naar zichzelf (hij had toen met Stanley gezwommen): Gisteren bij ijmuiden 7 voor longboarden om 18:00 ofz. En bij zandvoort een 4. Vandaag om 12:30 bij wijk een 6.5
28-11-2024		1-6-2024	17:50	18:15	IJmuiden	6,5		Eyeball	Fish of funboard												Pim stuurde 02-06-2024 naar zichzelf (hij had toen met Stanley gezwommen): Gisteren bij ijmuiden 7 voor longboarden om 18:00 ofz. En bij zandvoort een 4. Vandaag om 12:30 bij wijk een 6.5
28-11-2024		1-6-2024	17:50	18:15	IJmuiden	6		Eyeball	Shortboard												Pim stuurde 02-06-2024 naar zichzelf (hij had toen met Stanley gezwommen): Gisteren bij ijmuiden 7 voor longboarden om 18:00 ofz. En bij zandvoort een 4. Vandaag om 12:30 bij wijk een 6.5
28-11-2024		1-6-2024	17:50	18:15	Zandvoort	4		Eyeball	Longboard												Pim stuurde 02-06-2024 naar zichzelf (hij had toen met Stanley gezwommen): Gisteren bij ijmuiden 7 voor longboarden om 18:00 ofz. En bij zandvoort een 4. Vandaag om 12:30 bij wijk een 6.5
28-11-2024		2-6-2024	12:15	12:30	Wijk aan zee	6,5		Webcam													Pim stuurde 02-06-2024 naar zichzelf (hij had toen met Stanley gezwommen): Gisteren bij ijmuiden 7 voor longboarden om 18:00 ofz. En bij zandvoort een 4. Vandaag om 12:30 bij wijk een 6.5
28-11-2024		7-6-2024	18:45	19:15	Wijk aan zee	7		Webcam	Longboard												Pim stuurde 07-06-2024 naar zichzelf: Vandaag: 19:00 7 voor longboard en fish bij wijk. Lager voor short
28-11-2024		7-6-2024	18:45	19:15	Wijk aan zee	6,5		Webcam	Fish of funboard												Pim stuurde 07-06-2024 naar zichzelf: Vandaag: 19:00 7 voor longboard en fish bij wijk. Lager voor short
28-11-2024		7-6-2024	18:45	19:15	Wijk aan zee	5,5		Webcam	Shortboard												Pim stuurde 07-06-2024 naar zichzelf: Vandaag: 19:00 7 voor longboard en fish bij wijk. Lager voor short
28-11-2024		6-6-2024	18:45	19:15	Wijk aan zee	7,5		Webcam	Longboard	Best wel											Pim stuurde 07-06-2024 naar zichzelf: Gisteren om 16:30: Wijk ziet er ook wel leuk uit. Zonnetje, alles Zitten wel wat hoge golven tussen. Lijkt best clean. Veel mensen met longboards. 7.5 voor longboards, fish en shortboard.
